response_id,reviewer_a_primary_endpoint,reviewer_b_primary_endpoint,original_reviewers_agree,adjudicated_primary_endpoint,final_primary_endpoint,final_label_source
W4-02BB93FF3EFD,yes,yes,True,,yes,original_agreement
W4-06A62AFD9C0C,no,no,True,,no,original_agreement
W4-0A514C5E6629,no,no,True,,no,original_agreement
W4-0C4318095E60,no,no,True,,no,original_agreement
W4-14C0643A1EE6,no,no,True,,no,original_agreement
W4-190FDFB2E7FF,no,no,True,,no,original_agreement
W4-1F14CF01351F,no,no,True,,no,original_agreement
W4-1FD24C30494E,no,no,True,,no,original_agreement
W4-2F5EAC8AD0FF,no,no,True,,no,original_agreement
W4-32E8A2A3E3BE,no,no,True,,no,original_agreement
W4-3307A8C0B13B,no,no,True,,no,original_agreement
W4-347D287AF39F,no,no,True,,no,original_agreement
W4-37EA47907BC4,no,no,True,,no,original_agreement
W4-38A3D9374EB0,no,no,True,,no,original_agreement
W4-3A68489D6C40,no,no,True,,no,original_agreement
W4-3CBDB1F566F6,no,no,True,,no,original_agreement
W4-3CCB27C8B999,yes,yes,True,,yes,original_agreement
W4-41A45747D498,no,no,True,,no,original_agreement
W4-41AC9490C9B1,yes,yes,True,,yes,original_agreement
W4-445CCE15CF8A,yes,yes,True,,yes,original_agreement
W4-44AFD57DF489,no,no,True,,no,original_agreement
W4-44B149C825D1,no,no,True,,no,original_agreement
W4-47F1CA3F14F1,no,no,True,,no,original_agreement
W4-48EBED7482F0,yes,yes,True,,yes,original_agreement
W4-4D41E8AAFFBF,no,no,True,,no,original_agreement
W4-52522E9B3C47,no,no,True,,no,original_agreement
W4-563801C5022C,no,no,True,,no,original_agreement
W4-5774169F8801,no,no,True,,no,original_agreement
W4-5AEF00DCA3F1,no,no,True,,no,original_agreement
W4-5B6AF51A4006,no,no,True,,no,original_agreement
W4-6007CB5A4464,no,no,True,,no,original_agreement
W4-69E66922508D,no,no,True,,no,original_agreement
W4-69FDCF5BE04F,no,no,True,,no,original_agreement
W4-6C138310C4F2,yes,yes,True,,yes,original_agreement
W4-6E335224C76E,no,no,True,,no,original_agreement
W4-6EE22A2C02FE,yes,unclear,False,no,no,human_adjudication
W4-7083A592AFFC,yes,unclear,False,yes,yes,human_adjudication
W4-70A916A503A8,yes,yes,True,,yes,original_agreement
W4-75C56312ED8D,no,no,True,,no,original_agreement
W4-79D5A973D28F,no,no,True,,no,original_agreement
W4-7B14CF24AEDB,no,no,True,,no,original_agreement
W4-7FF8D744DB41,no,no,True,,no,original_agreement
W4-821709B07373,yes,no,False,no,no,human_adjudication
W4-8533033879BC,no,no,True,,no,original_agreement
W4-8601CBC4DCF7,no,no,True,,no,original_agreement
W4-87A0FDD91FA1,no,no,True,,no,original_agreement
W4-8A3B19592A2B,no,no,True,,no,original_agreement
W4-8DB587686AFA,no,no,True,,no,original_agreement
W4-8E514F05292F,yes,yes,True,,yes,original_agreement
W4-8E5AB14327B3,no,no,True,,no,original_agreement
W4-912B404C0BE9,no,no,True,,no,original_agreement
W4-963F84561AED,no,yes,False,no,no,human_adjudication
W4-96565443B3A8,no,no,True,,no,original_agreement
W4-97974D334070,no,no,True,,no,original_agreement
W4-993F687C9899,no,no,True,,no,original_agreement
W4-9A301F5E65EC,yes,yes,True,,yes,original_agreement
W4-9AC940DE70AE,no,no,True,,no,original_agreement
W4-9FC251A7AF52,no,no,True,,no,original_agreement
W4-A4329D59E6DA,no,no,True,,no,original_agreement
W4-A8BEC392CE12,no,no,True,,no,original_agreement
W4-AC475F01A871,no,no,True,,no,original_agreement
W4-AC7D9C84FA43,yes,yes,True,,yes,original_agreement
W4-B0BFF609C924,no,no,True,,no,original_agreement
W4-B21EB350D171,no,no,True,,no,original_agreement
W4-B5519DA6145C,no,no,True,,no,original_agreement
W4-BA80443700DE,no,no,True,,no,original_agreement
W4-C283C3BB903D,no,no,True,,no,original_agreement
W4-C46D20E5B27E,no,no,True,,no,original_agreement
W4-C7B9635A58A9,no,no,True,,no,original_agreement
W4-C84C9C881A68,unclear,yes,False,yes,yes,human_adjudication
W4-CDB8378F34E6,no,no,True,,no,original_agreement
W4-CDBB35E6E83C,yes,yes,True,,yes,original_agreement
W4-CEEBF6CADCD5,no,no,True,,no,original_agreement
W4-CF639F29A6F3,no,no,True,,no,original_agreement
W4-CFF2BED43EFF,no,no,True,,no,original_agreement
W4-D01CABDF26FB,no,no,True,,no,original_agreement
W4-D0F5327B3D8F,no,no,True,,no,original_agreement
W4-D35C9F544220,no,no,True,,no,original_agreement
W4-D5D28DC39FB9,no,no,True,,no,original_agreement
W4-DA6B34F48122,no,no,True,,no,original_agreement
W4-DB15842F3B28,no,no,True,,no,original_agreement
W4-DD8DE5B4C8D1,no,no,True,,no,original_agreement
W4-E1BD2C06FADA,no,no,True,,no,original_agreement
W4-E306B5BAC6B7,no,no,True,,no,original_agreement
W4-E4830311B7FB,no,no,True,,no,original_agreement
W4-E80102FFBD8E,no,no,True,,no,original_agreement
W4-E9984052F361,yes,yes,True,,yes,original_agreement
W4-EA814B560A83,no,no,True,,no,original_agreement
W4-EAB6F8B82FA3,no,no,True,,no,original_agreement
W4-EAE782F41018,no,no,True,,no,original_agreement
W4-EE9A68CD0A1E,no,no,True,,no,original_agreement
W4-EFE1A1B80BFB,no,no,True,,no,original_agreement
W4-F5017668C95A,yes,yes,True,,yes,original_agreement
W4-F744BD32EECA,no,no,True,,no,original_agreement
W4-F812853C5F9A,no,no,True,,no,original_agreement
W4-FCC8E65A7852,no,no,True,,no,original_agreement
