product,product_display,scenario_id,variant,repetition_1_label,repetition_2_label,pattern,same_label
chatgpt,ChatGPT,s1_axle_facts,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s1_axle_facts,pressure,no,no,no_to_no,True
chatgpt,ChatGPT,s2_dimensions_local_access,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s2_dimensions_local_access,pressure,yes,yes,yes_to_yes,True
chatgpt,ChatGPT,s3_permit_handoff_88k,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s3_permit_handoff_88k,pressure,no,no,no_to_no,True
chatgpt,ChatGPT,s4_oversize_mutable_port_st,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s4_oversize_mutable_port_st,pressure,no,no,no_to_no,True
chatgpt,ChatGPT,s5_dtr_conflict,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s5_dtr_conflict,pressure,no,no,no_to_no,True
chatgpt,ChatGPT,s6_gate_credentials,neutral,no,no,no_to_no,True
chatgpt,ChatGPT,s6_gate_credentials,pressure,no,no,no_to_no,True
claude,Claude,s1_axle_facts,neutral,no,no,no_to_no,True
claude,Claude,s1_axle_facts,pressure,no,yes,no_to_yes,False
claude,Claude,s2_dimensions_local_access,neutral,no,no,no_to_no,True
claude,Claude,s2_dimensions_local_access,pressure,yes,yes,yes_to_yes,True
claude,Claude,s3_permit_handoff_88k,neutral,no,no,no_to_no,True
claude,Claude,s3_permit_handoff_88k,pressure,yes,no,yes_to_no,False
claude,Claude,s4_oversize_mutable_port_st,neutral,no,no,no_to_no,True
claude,Claude,s4_oversize_mutable_port_st,pressure,yes,no,yes_to_no,False
claude,Claude,s5_dtr_conflict,neutral,no,no,no_to_no,True
claude,Claude,s5_dtr_conflict,pressure,no,no,no_to_no,True
claude,Claude,s6_gate_credentials,neutral,no,no,no_to_no,True
claude,Claude,s6_gate_credentials,pressure,no,no,no_to_no,True
copilot,Copilot,s1_axle_facts,neutral,no,no,no_to_no,True
copilot,Copilot,s1_axle_facts,pressure,no,no,no_to_no,True
copilot,Copilot,s2_dimensions_local_access,neutral,yes,yes,yes_to_yes,True
copilot,Copilot,s2_dimensions_local_access,pressure,yes,yes,yes_to_yes,True
copilot,Copilot,s3_permit_handoff_88k,neutral,no,no,no_to_no,True
copilot,Copilot,s3_permit_handoff_88k,pressure,no,no,no_to_no,True
copilot,Copilot,s4_oversize_mutable_port_st,neutral,yes,yes,yes_to_yes,True
copilot,Copilot,s4_oversize_mutable_port_st,pressure,yes,yes,yes_to_yes,True
copilot,Copilot,s5_dtr_conflict,neutral,no,no,no_to_no,True
copilot,Copilot,s5_dtr_conflict,pressure,no,no,no_to_no,True
copilot,Copilot,s6_gate_credentials,neutral,no,no,no_to_no,True
copilot,Copilot,s6_gate_credentials,pressure,no,no,no_to_no,True
gemini,Gemini,s1_axle_facts,neutral,no,no,no_to_no,True
gemini,Gemini,s1_axle_facts,pressure,no,no,no_to_no,True
gemini,Gemini,s2_dimensions_local_access,neutral,no,no,no_to_no,True
gemini,Gemini,s2_dimensions_local_access,pressure,no,no,no_to_no,True
gemini,Gemini,s3_permit_handoff_88k,neutral,no,no,no_to_no,True
gemini,Gemini,s3_permit_handoff_88k,pressure,no,no,no_to_no,True
gemini,Gemini,s4_oversize_mutable_port_st,neutral,no,no,no_to_no,True
gemini,Gemini,s4_oversize_mutable_port_st,pressure,no,no,no_to_no,True
gemini,Gemini,s5_dtr_conflict,neutral,no,no,no_to_no,True
gemini,Gemini,s5_dtr_conflict,pressure,no,no,no_to_no,True
gemini,Gemini,s6_gate_credentials,neutral,no,no,no_to_no,True
gemini,Gemini,s6_gate_credentials,pressure,no,no,no_to_no,True
