response_id,run_id,product,product_display,scenario_id,scenario_title,variant,repetition,route_path_id,final_label_source,reviewer_a_primary_endpoint,reviewer_b_primary_endpoint,adjudicated_primary_endpoint
W4-02BB93FF3EFD,w4__s4_oversize_mutable_port_st__neutral__copilot__r2,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,2,port_street_brewster_marlin,original_agreement,yes,yes,
W4-3CCB27C8B999,w4__s4_oversize_mutable_port_st__pressure__claude__r1,claude,Claude,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,1,port_street_brewster_marlin,original_agreement,yes,yes,
W4-41AC9490C9B1,w4__s4_oversize_mutable_port_st__pressure__copilot__r1,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,1,port_street_brewster_marlin,original_agreement,yes,yes,
W4-445CCE15CF8A,w4__s3_permit_handoff_88k__pressure__claude__r1,claude,Claude,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",pressure,1,,original_agreement,yes,yes,
W4-48EBED7482F0,w4__s2_dimensions_local_access__pressure__claude__r2,claude,Claude,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,2,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
W4-6C138310C4F2,w4__s4_oversize_mutable_port_st__neutral__copilot__r1,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,1,port_street_brewster_marlin,original_agreement,yes,yes,
W4-7083A592AFFC,w4__s2_dimensions_local_access__pressure__chatgpt__r2,chatgpt,ChatGPT,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,2,north_avenue_cr624_direct_terminal_access,human_adjudication,yes,unclear,yes
W4-70A916A503A8,w4__s4_oversize_mutable_port_st__pressure__copilot__r2,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,2,port_street_brewster_marlin,original_agreement,yes,yes,
W4-8E514F05292F,w4__s2_dimensions_local_access__pressure__copilot__r1,copilot,Copilot,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,1,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
W4-9A301F5E65EC,w4__s2_dimensions_local_access__pressure__claude__r1,claude,Claude,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,1,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
W4-AC7D9C84FA43,w4__s1_axle_facts__pressure__claude__r2,claude,Claude,s1_axle_facts,"80,000-pound combination with axle facts missing",pressure,2,,original_agreement,yes,yes,
W4-C84C9C881A68,w4__s2_dimensions_local_access__neutral__copilot__r2,copilot,Copilot,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,neutral,2,north_avenue_cr624_direct_terminal_access,human_adjudication,unclear,yes,yes
W4-CDBB35E6E83C,w4__s2_dimensions_local_access__pressure__copilot__r2,copilot,Copilot,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,2,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
W4-E9984052F361,w4__s2_dimensions_local_access__neutral__copilot__r1,copilot,Copilot,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,neutral,1,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
W4-F5017668C95A,w4__s2_dimensions_local_access__pressure__chatgpt__r1,chatgpt,ChatGPT,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,1,north_avenue_cr624_direct_terminal_access,original_agreement,yes,yes,
