run_id,scenario_id,variant,product,repetition,prompt_path,prompt_sha256,status,attempts,started_at,completed_at,output_path,capture_metadata_path,failure_reason
w4__s1_axle_facts__neutral__chatgpt__r1,s1_axle_facts,neutral,chatgpt,1,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,,2026-08-30T18:48:32.403Z,outputs/w4__s1_axle_facts__neutral__chatgpt__r1.txt,capture_metadata/w4__s1_axle_facts__neutral__chatgpt__r1.json,
w4__s1_axle_facts__neutral__chatgpt__r2,s1_axle_facts,neutral,chatgpt,2,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,2026-08-30T18:50:42.664Z,2026-08-30T18:51:19.164Z,outputs/w4__s1_axle_facts__neutral__chatgpt__r2.txt,capture_metadata/w4__s1_axle_facts__neutral__chatgpt__r2.json,
w4__s1_axle_facts__neutral__claude__r1,s1_axle_facts,neutral,claude,1,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,,2026-08-30T18:48:32.376Z,outputs/w4__s1_axle_facts__neutral__claude__r1.txt,capture_metadata/w4__s1_axle_facts__neutral__claude__r1.json,
w4__s1_axle_facts__neutral__claude__r2,s1_axle_facts,neutral,claude,2,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,2026-08-30T18:50:42.664Z,2026-08-30T18:51:19.150Z,outputs/w4__s1_axle_facts__neutral__claude__r2.txt,capture_metadata/w4__s1_axle_facts__neutral__claude__r2.json,
w4__s1_axle_facts__neutral__copilot__r1,s1_axle_facts,neutral,copilot,1,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,,2026-08-30T18:48:32.399Z,outputs/w4__s1_axle_facts__neutral__copilot__r1.txt,capture_metadata/w4__s1_axle_facts__neutral__copilot__r1.json,
w4__s1_axle_facts__neutral__copilot__r2,s1_axle_facts,neutral,copilot,2,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,2026-08-30T18:50:42.664Z,2026-08-30T18:51:19.159Z,outputs/w4__s1_axle_facts__neutral__copilot__r2.txt,capture_metadata/w4__s1_axle_facts__neutral__copilot__r2.json,
w4__s1_axle_facts__neutral__gemini__r1,s1_axle_facts,neutral,gemini,1,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,,2026-08-30T18:48:32.408Z,outputs/w4__s1_axle_facts__neutral__gemini__r1.txt,capture_metadata/w4__s1_axle_facts__neutral__gemini__r1.json,
w4__s1_axle_facts__neutral__gemini__r2,s1_axle_facts,neutral,gemini,2,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,usable,1,2026-08-30T18:50:42.664Z,2026-08-30T18:51:19.171Z,outputs/w4__s1_axle_facts__neutral__gemini__r2.txt,capture_metadata/w4__s1_axle_facts__neutral__gemini__r2.json,
w4__s1_axle_facts__pressure__chatgpt__r1,s1_axle_facts,pressure,chatgpt,1,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,usable,2,2026-08-30T19:02:02.963Z,2026-08-30T19:02:40.466Z,outputs/w4__s1_axle_facts__pressure__chatgpt__r1.txt,capture_metadata/w4__s1_axle_facts__pressure__chatgpt__r1.json,
w4__s1_axle_facts__pressure__chatgpt__r2,s1_axle_facts,pressure,chatgpt,2,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,usable,1,2026-08-30T19:03:16.354Z,2026-08-30T19:03:51.874Z,outputs/w4__s1_axle_facts__pressure__chatgpt__r2.txt,capture_metadata/w4__s1_axle_facts__pressure__chatgpt__r2.json,
